Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Dependents,Other information,Parent Task
DOOR FLAP PNUEMATIC CYLINDER - REPAIR,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
14W ENERGY CHAIN - INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
6M DRIVE GEAR MOTOR - PM INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3Y DRIVE GEAR MOTOR PM CHANGE GEAR OIL,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3W VIBRATOR - INSPECTION  -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3W DRIVE GEAR MOTOR - INSPECTION  -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3W COMPACTOR HOIST - PM  -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3M VIBRATOR - INSPECTION -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3M KNOCKER HAMMER Inspection,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3M DRIVE GEAR MOTOR - INSPECTION -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
3M COMPACTOR HOIST - INSPECTION  -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1Y VIBRATOR MOTOR - INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1Y DRIVE GEAR MOTOR - INSPECTION -,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1Y COMPACTOR HOIST  - INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1M VIBRATOR MOTOR - INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1M KNOCKER HAMMER Inspection,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
1D VIBRATOR MOTOR - INSPECTION,,DONE,fc.tadena@gmail.com,,3/1/2024,,,,,
EXPULSION VALVE CYLINDER SERVICING E54 2.5Y,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC BYPASS VALVE SERVICING E54,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
HYDRAULIC LID CYLINDER SERVICING E54 2Y,,ON-GOING REFLECTING COMMENTS,fc.tadena@gmail.com,,3/1/2024,,,,,
