"description","man_r","unit","qty","unit_cost","amount","project","type","date","source"
"cutting discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",50,"240.00","12000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"cutting discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"160.00","6400.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"grinding discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"180.00","7200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"grinding discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",40,"260.00","10400.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"flap disc 4""",NULL,"pcs",30,"200.00","6000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"rust remover",NULL,"gal",1,"1000.00","1000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"ordinary welding rod, e7018 x 1/8""ø",NULL,"kgs",20,"150.00","3000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"miscelleneous",NULL,"lot",1,"10000.00","10000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"flap disc 4""",NULL,"pcs",30,"68.00","2040.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
"acetylene gas",NULL,"cyl",1,NULL,"0.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"oxygen gas",NULL,"cyl",1,NULL,"0.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"ss304 filler rod",NULL,"kgs",5,"900.00","4500.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"tungsten rod",NULL,"pcs",2,"150.00","300.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","G&R"
"cutting discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",50,"300.00","15000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"cutting discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"180.00","7200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"grinding discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"150.65","6026.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"grinding discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",40,"250.35","10014.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"flap disc 4""",NULL,"pcs",30,"180.55","5416.50","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"rust remover",NULL,"gal",1,"2150.95","2150.95","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"ordinary welding rod, e7018 x 1/8""ø",NULL,"kgs",20,"320.75","6415.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"miscelleneous",NULL,"lot",1,"10000.00","10000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"cutting discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",50,"185.00","9250.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
"cutting discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"95.00","3800.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
"grinding discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"130.00","5200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
"grinding discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",40,"160.00","6400.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
"acetylene gas",NULL,"cyl",2,"5245.25","10490.50","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"oxygen gas",NULL,"cyl",2,"5400.35","10800.70","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"ss304 filler rod",NULL,"kgs",5,"865.95","4329.75","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"tungsten rod",NULL,"pcs",2,"350.75","701.50","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"tig cleene (jar)",NULL,"jar",1,"1854.65","1854.65","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","INHOUSE"
"cutting discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",60,"230.00","13800.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"cutting discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",60,"120.00","7200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"grinding discs, 4""ø, ""tyrolit"" brand, 15,300 rated rpm",NULL,"pcs",40,"155.00","6200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"grinding discs, 7""ø, ""tyrolit"" brand, 8,600 rated rpm",NULL,"pcs",40,"250.00","10000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"flap disc 4""",NULL,"pcs",30,"120.00","3600.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"rust remover",NULL,"gal",1,"500.00","500.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"ordinary welding rod, e7018 x 1/8""ø",NULL,"kgs",20,"400.00","8000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"miscelleneous",NULL,"lot",1,"3000.00","3000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"ss304 filler rod",NULL,"kgs",5,"800.00","4000.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"tig cleene (jar)",NULL,"jar",1,"1200.00","1200.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","EDP"
"rust remover",NULL,"gal",1,"720.00","720.00","DRY BLENDING PROJECT PHASE-1 STRUCTURE","Consumables","2024-04-10","JOORS"
